amine,carboxylic acid,product,conversion,gt,pred,prob
Nc1ccccc1-c1nc2ccccc2[nH]1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)Nc2ccccc2-c2nc3ccccc3[nH]2)cc1OC,0,0,0,0.48506045
NN(Cc1ccccc1)c1ccccc1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)NN(Cc2ccccc2)c2ccccc2)cc1OC,0,0,0,0.35930878
c1ccc2sc(N3CCNCC3)nc2c1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)N2CCN(c3nc4ccccc4s3)CC2)cc1OC,5.6,0,1,0.6742685
Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)Nc2cc(-c3ccccc3)c(O)c(-c3ccccc3)c2)cc1OC,0,0,1,0.6967363
C=C(C)C(=O)OC1CC(C)(C)NC(C)(C)C1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,C=C(C)C(=O)OC1CC(C)(C)N(C(=O)c2ccccc2NC(=O)/C=C/c2ccc(OC)c(OC)c2)C(C)(C)C1,0,0,0,0.07783225
C1=Cc2ccccc2NCc2ccccc21,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)N2Cc3ccccc3C=Cc3ccccc32)cc1OC,0,0,0,0.10672088
Nc1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)Nc2ccccc2C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1OC,0,0,0,0.2580284
Cc1onc(N)c1C,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)Nc2noc(C)c2C)cc1OC,0,0,0,0.10089415
Nc1ccccc1C#Cc1ccccc1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)Nc2ccccc2C#Cc2ccccc2)cc1OC,0,0,0,0.24388458
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,CCOc1cc(NC(=O)c2ccccc2NC(=O)/C=C/c2ccc(OC)c(OC)c2)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,0,0,0,0.024401527
OC(c1ccccc1)(c1ccccc1)C1CCCN1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)N2CCCC2C(O)(c2ccccc2)c2ccccc2)cc1OC,0,0,0,0.43855855
C1CCC(NC2CCCCC2)CC1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)N(C2CCCCC2)C2CCCCC2)cc1OC,0,0,0,0.24451673
COc1cccc(Nc2ccccc2)c1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1cccc(N(C(=O)c2ccccc2NC(=O)/C=C/c2ccc(OC)c(OC)c2)c2ccccc2)c1,0,0,0,0.13276422
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)N2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)cc1OC,0,0,0,0.45773873
COc1cccc(C(N)=S)c1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1cccc(C(=S)NC(=O)c2ccccc2NC(=O)/C=C/c2ccc(OC)c(OC)c2)c1,0,0,0,0.18322071
CC(N)c1ccccc1Br,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)NC(C)c2ccccc2Br)cc1OC,0,0,1,0.7742012
Nc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,O=C(O)c1cn2cc(Br)ncc2n1,O=C(Nc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F)c1cn2cc(Br)ncc2n1,0,0,0,0.07115133
